,hashtag,counts
2,#blackadam,1355
17,#blackadammovie,549
10,#dccomics,233
3,#dceu,158
18,#superman,139
13,#dwaynejohnson,125
50,#dc,123
31,#therock,102
9,#cinema,97
35,#movies,97
7,#film,96
20,#comics,81
134,#fortnite,65
151,#multiversus,63
96,#henrycavill,52
12,#henrycavillsuperman,45
159,#1,44
144,#bringbackzacksnyder,44
104,#shazam,42
183,#news,41
382,#restorethesnyderverse,41
241,#boxoffice,36
152,#black,35
133,#dcu,34
189,#hawkman,33
95,#comicbooks,31
277,#nw,30
246,#movie,30
108,#imdb,30
252,#jsa,27
313,#entertainment,27
41,#ad,25
174,#doctorfate,24
153,#adam,23
472,#warnerbros,23
158,#ebay,23
775,#antmanandthewaspquantumania,23
94,#premiere,22
114,#marvel,22
251,#drfate,21
15,#hollywood,20
82,#films,19
49,#dcuniverse,19
176,#blackadamreview,18
45,#podcast,17
285,#nowwatching,16
87,#amc,16
83,#premieres,15
302,#review,15
398,#video,14
265,#2,14
266,#breakingnews,14
238,#halloweenends,13
631,#cyclone,13
29,#warnerbrosindia,13
172,#piercebrosnan,13
564,#entertainmentnews,13
4,#moviereview,13
47,#5,13
605,#tv,12
48,#dcstudios,12
240,#tickettoparadise,12
355,#atomsmasher,12
11,#wakandaforever,12
1326,#mondayvibes,11
761,#wwe,11
30,#thetimeofheroesisover,11
1085,#tuesdayvibe,11
1000,#wweraw,11
316,#dwayne,11
301,#justiceleague,11
58,#filmtwitter,10
1104,#justicesociety,10
216,#youtube,10
1701,#mondaymotivation,10
367,#comic,10
303,#superhero,10
146,#manofsteel2,10
640,#wednesdaythought,10
437,#restorethesnyderverse𓃵,10
933,#funko,9
862,#blackadams,9
53,#art,9
318,#johnson,9
14,#batman,9
62,#moviereviews,9
876,#houseofthedragon,9
297,#maninblack,8
247,#manofsteel,8
260,#aldishodge,8
478,#wonderwoman,8
1153,#tuesdaymotivation,7
460,#wwenxt,7
920,#blackadamsweep,7
84,#thursdayvibes,7
224,#digitalart,7
533,#shorts,7
358,#trakt,7
85,#thursdaythoughts,7
632,#justicesocietyofamerica,7
647,#wednesdaymotivation,7
650,#movienews,7
320,#reviews,7
182,#fanart,7
1738,#mondaymorning,7
185,#twitch,7
140,#comicsgate,7
381,#mcu,7
473,#gaming,7
474,#gamingnews,7
319,#response,6
413,#rituals,6
141,#teamcomics,6
317,#fan,6
341,#xbox,6
415,#sra,6
64,#poshmark,6
414,#satanic,6
354,#noahcentineo,6
1693,#hotdfinale,6
412,#illuminati,6
411,#elites,6
410,#antichrist,6
353,#smile,6
1195,#snydercut,6
69,#hamcinemax,6
748,#zacksnyder𓃵,6
1068,#rt,6
186,#wrestling,6
65,#shopmycloset,6
684,#quantumania,6
603,#6,6
281,#epicpartner,6
315,#celebrates,6
314,#bad,6
113,#jamesgunn,6
565,#scfintechfestival,6
516,#smartnews,6
937,#funkopop,6
491,#thebatman,6
280,#cineworldunlimited,5
493,#drawing,5
1116,#adventure,5
1115,#action,5
724,#quintessaswindell,5
351,#tethadam,5
112,#andor,5
262,#newmovie,5
263,#download,5
107,#pcas,5
